dataset,train_classes,val_classes,test_classes,train_class_counts,val_class_counts,test_class_counts,issue
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],,,,Mismatch in class labels
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([  6,  64, 484,  50,  26], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([  2,  24, 124,  10,   8], dtype=int64))","(array([1, 2, 3, 4], dtype=uint8), array([11, 76,  7,  6], dtype=int64))",Class with less than 3 instances
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],,,,Mismatch in class labels
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([  7,  70, 482,  53,  25], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([  1,  18, 126,   7,   9], dtype=int64))","(array([1, 2, 3, 4], dtype=uint8), array([11, 76,  7,  6], dtype=int64))",Class with less than 3 instances
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],,,,Mismatch in class labels
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],,,,Mismatch in class labels
annealing,[0 1 2 3 4],[0 1 2 3 4],[1 2 3 4],"(array([0, 1, 2, 3, 4], dtype=uint8), array([  7,  69, 480,  47,  28], dtype=int64))","(array([0, 1, 2, 3, 4], dtype=uint8), array([  1,  19, 128,  13,   6], dtype=int64))","(array([1, 2, 3, 4], dtype=uint8), array([11, 76,  7,  6], dtype=int64))",Class with less than 3 instances
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  3  4  5  7  9 10 12],[ 0  1  2  3  4  5  8  9 10 11 12],,,,Mismatch in class labels
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  3  4  5  7  9 10 12],[ 0  1  2  3  4  5  8  9 10 11 12],"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12], dtype=uint8), array([134,  26,   8,  10,   8,  14,   3,   1,   7,  31,   1,   4,  13],
      dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  7,  9, 10, 12], dtype=uint8), array([45,  7,  4,  2,  2,  5,  1,  7,  2,  4], dtype=int64))","(array([ 0,  1,  2,  3,  4,  5,  8,  9, 10, 11, 12], dtype=uint8), array([66, 11,  3,  3,  3,  6,  2, 12,  1,  1,  5], dtype=int64))",Class with less than 3 instances
arrhythmia,[ 0  1  2  3  4  5  6  7  8  9 10 11 12],[ 0  1  2  3  4  5  6  8  9 12],[ 0  1  2  3  4  5  8  9 10 11 12],,,,Mismatch in class labels
