Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
annealing,0.450701555650635,0.582850484508683,0.913199804273472,0.887811456560637,0.898185925169317,0.276380935958396,0.864344693892844,0.722435365610827,0.915204358519598,0.807046209819693,0.531072956580386,0.848661191693378
breast-cancer-wisc-diag,0.963749315568204,0.954368610505387,0.958051921451406,0.932180106912245,0.944686672317445,0.931754255205342,0.95794721137913,0.958126820321908,0.950797259875135,0.967633825944427,0.97129689749706,0.952475413053765
breast-cancer-wisc-prog,0.653600694920694,0.653847721614635,0.523208169941684,0.531063989321513,0.53415877845391,0.548534137594457,0.593844569985068,0.605619861600371,0.569683451419218,0.733199786324786,0.647398980442474,0.599272429082847
congressional-voting,0.39708900524652,0.406067127512151,0.402891699799202,0.422303061933621,0.414281535368316,0.504409960070686,0.421738475608649,0.473522996426176,0.433613315696649,0.416478215815643,0.428808104703119,0.448887289144848
conn-bench-sonar-mines-rocks,0.828990439086496,0.754384441570946,0.802378433479113,0.695866859474776,0.817009016005788,0.634521938558324,0.760224163597729,0.804092097818366,0.771837934089374,0.787427544300678,0.805287899957547,0.823848240399112
conn-bench-vowel-deterding,0.995670074997983,0.562156901630008,0.971802596887039,0.784797977399488,0.996211584305135,0.739228630789506,0.995128796054862,0.980469074250758,0.972364142902124,0.960210037785559,0.915729362880817,0.897367291833615
credit-approval,0.869241173088421,0.854132698241848,0.868605502216133,0.865091725226257,0.872863495384206,0.814256697720369,0.857962277045078,0.865496638297353,0.877493604635492,0.856745870295974,0.85612282017561,0.864383494797199
cylinder-bands,0.770837969275911,0.72670603546505,0.839609813940773,0.710534049945549,0.763127877457376,0.577182915422673,0.74819779292016,0.71403058051788,0.798806111491865,0.708014028997825,0.730299799553033,0.745727886233241
dermatology,0.969507575757576,0.950045230799399,0.958026844307276,0.941764888227984,0.969599576050403,0.91413569572537,0.962944141205011,0.958839974853843,0.97381032938301,0.984705740801279,0.97289587425457,0.956045388200561
flags,0.276178712015109,0.300533910932618,0.390490627039785,0.312280395641614,0.400625696811359,0.283262427931546,0.263912824637224,0.211443408565119,0.350636129561729,0.322802427396417,0.32520404574113,0.343566507750786
heart-cleveland,0.34498045172628,0.258363433092535,0.304138941014749,0.296027184091479,0.259997140286614,0.317468346522545,0.29603894188893,0.315253633482473,0.251648334518839,0.340596256462419,0.286425048145013,0.283413569777819
heart-hungarian,0.833574394834637,0.798817290287522,0.827901912728398,0.79238546428394,0.838036530661823,0.825904129556529,0.837120344428124,0.828435757919966,0.815894223654942,0.784503837194671,0.800289044956119,0.825203749729194
heart-va,0.211813924732255,0.180393945828728,0.221298867373036,0.189650488517092,0.174381908037256,0.200394850247791,0.271957908182164,0.261774126977553,0.211316545185714,0.260617897268523,0.279398084114028,0.18073551726002
hepatitis,0.756077405382292,0.674367902628772,0.605837912087912,0.613923989463085,0.662266217798899,0.758149350649351,0.677177323609227,0.69652888456798,0.652073598444566,0.600112201231604,0.686151852180078,0.652457954937575
horse-colic,0.828058264667415,0.823783521097904,0.849593508740052,0.825174725431465,0.820433443398758,0.727531732266174,0.76469933605408,0.807684744106009,0.863954233834755,0.852536616016044,0.83417236584353,0.649374081192225
ionosphere,0.926721468986869,0.916752836098248,0.923896872849675,0.877730927329932,0.906517968199733,0.898371538648427,0.902979563420295,0.903457219109618,0.917506286609976,0.91416764600311,0.927700802167301,0.92381541896892
libras,0.882424242424242,0.599084502099208,0.812321937321937,0.527970455470456,0.83022607022607,0.630005966255966,0.831565379065379,0.872405927405927,0.799709503459503,0.7301776001776,0.77271978021978,0.679001646501647
molec-biol-promoter,0.834231735996982,0.853694529783239,0.862910654160654,0.787285781712318,0.842691413509835,0.901756699095409,0.797863247863248,0.561283029992707,0.834477850360534,0.854690611043684,0.825974200018428,0.806169028580948
oocytes_merluccius_nucleus_4d,0.799817649627955,0.736574562341909,0.733788143765116,0.689460172551198,0.71999790798884,0.586760427733976,0.690627798617546,0.674392450705808,0.711157795201528,0.708887464632388,0.709760377779614,0.719942360704505
oocytes_merluccius_states_2f,0.894690422767363,0.796262873187741,0.883819725151215,0.832747864462376,0.884890438964666,0.815345748952825,0.856101782981513,0.840609300589341,0.877652687125073,0.877842430274951,0.854136097094481,0.864641992204298
oocytes_trisopterus_nucleus_2f,0.826053091707451,0.778118361731982,0.784368391276269,0.725861603414725,0.803397539988515,0.526810312580711,0.732079370686798,0.734258621492388,0.779516684998283,0.792919870095708,0.788192790654434,0.76742521157881
oocytes_trisopterus_states_5b,0.957655807864721,0.581965703613912,0.837585820295975,0.798168132381345,0.84255204123795,0.702706759321127,0.807657128018902,0.586641416119441,0.82085575932902,0.871493917440453,0.880126254618947,0.819277514809289
parkinsons,0.880162108092424,0.818358686984259,0.805345431527977,0.74284892108753,0.81891749003258,0.650260538814957,0.865605851806558,0.729063996185915,0.837472807286685,0.742433400046039,0.804809522289536,0.82880329722435
planning,0.415584415584416,0.409364822484018,0.397972972972973,0.415746753246753,0.411688311688312,0.388671159622006,0.419916628960365,0.434342010328852,0.414953872190714,0.418954583428268,0.401693306693307,0.421760199065534
primary-tumor,0.236678421481053,0.106367570965813,0.213459082347809,0.254545798600677,0.22599043046066,0.193527814156499,0.245084991261462,0.191851531509426,0.23657387596333,0.299679663466428,0.2387802327864,0.230925723824884
spectf,0.479108635097493,0.479108635097493,0.479108635097493,0.478744884144349,0.479108635097493,0.479108635097493,0.479108635097493,0.504490976043461,0.479108635097493,0.479108635097493,0.479108635097493,0.479108635097493
statlog-australian-credit,0.413652509046853,0.508028448138219,0.521618664055089,0.491938372700043,0.468128890272715,0.530879768398036,0.473290830047118,0.464156876538976,0.507249451351259,0.430888861265099,0.424857028375347,0.502525086656965
statlog-german-credit,0.642987935264796,0.658052469364253,0.672992582424472,0.651340197080383,0.664445718331905,0.704472369396352,0.605808101930911,0.732082274881422,0.686245781220849,0.670840717168861,0.692091106862191,0.687547734766033
statlog-heart,0.823720021833996,0.839376565906662,0.802976916284739,0.830430787350275,0.846553565799069,0.878870056497175,0.85380080299509,0.877480605287642,0.839629755663104,0.829020109516126,0.870323488806569,0.828101028678849
statlog-image,0.961296270605241,0.854300446817023,0.9743134810576,0.951292480430392,0.977382821615112,0.791992838804162,0.956545071958793,0.891052705372219,0.975599753302888,0.964307405178507,0.962029868441679,0.971669021587497
statlog-vehicle,0.802884186660223,0.635485523070353,0.745670946856013,0.696631916870551,0.735328606226492,0.416590251690977,0.674635281033358,0.834374382071172,0.720793276517639,0.772596516143474,0.751532916343901,0.738648934531465
synthetic-control,0.993330665599573,0.87481604225601,0.98163591707154,0.882634467629097,0.984953723840583,0.941059766453376,0.978223451703505,0.984989989585578,0.98158446070736,0.99499799919968,0.991663331999466,0.959702732418037
wine,0.970588762779838,0.956030785594425,0.966222588985619,0.882114299136075,0.994745484400657,0.967192672726817,0.955541633749937,0.989031198686371,0.983176856949676,0.971250656557674,0.961317232068768,0.973827994661328
zoo,0.819047619047619,0.702040816326531,0.892517006802721,0.795238095238095,0.873469387755102,0.842857142857143,0.79421768707483,0.555272108843537,0.900280112044818,0.751190476190476,0.842857142857143,0.793112244897959
pittsburg-bridges-REL-L,0.477537404892477,0.473306758600876,0.589193804280011,0.553553799142035,0.507257331891242,0.517555916305916,0.613635553809198,0.455104263927793,0.56586804846278,0.469693464036734,0.530614947201634,0.520646143979477
plant-texture,0.828700577200577,0.414999998530881,0.795654220779221,0.435600799200799,0.819567640692641,0.767878787878788,0.791042929292929,0.372713820901321,0.78935119047619,0.809738095238095,0.790791666666667,0.666976717726718
pittsburg-bridges-MATERIAL,0.584579159946807,0.506398606398606,0.612819962819963,0.520921814671815,0.548931073931074,0.61973428260193,0.555249234196603,0.623776455026455,0.548931073931074,0.523254136489431,0.668518518518519,0.546410065527713
plant-shape,0.664373015873016,0.195516385851564,0.571558802308802,0.387211441336441,0.598915584415584,0.495515544096426,0.5934329004329,0.550600045057282,0.577695707070707,0.539675865800866,0.526243073511456,0.478451659451659
yeast,0.594139077657386,0.329672225757633,0.452737235347117,0.394485480537599,0.571740146286546,0.437617476242838,0.571240339349777,0.466368421309264,0.491383966535853,0.592871707876788,0.584866518173246,0.440215577103093
breast-tissue,0.675974025974026,0.595021645021645,0.58478835978836,0.562184343434343,0.608661014911015,0.566841029341029,0.646951659451659,0.648244348244348,0.668088624338624,0.679359066859067,0.647183140933141,0.541226366226366
wine-quality-white,0.335662891477028,0.178914608039858,0.398095126996749,0.291467033282059,0.409702267938328,0.270232191271406,0.387843830232873,0.251643996424696,0.377768872136558,0.247938913199,0.332301849260226,0.402365278470543
glass,0.612768738684687,0.45288581330248,0.714246140593123,0.65124974692376,0.563574644178297,0.397795810771354,0.641523756838158,0.373176692177479,0.728475543453992,0.599612527708503,0.628044453152212,0.595374427391971
pittsburg-bridges-TYPE,0.438084795321637,0.304724935946332,0.392560349325223,0.33463050742799,0.43665885040885,0.480444677871148,0.436417036910458,0.412248977873978,0.398724564485434,0.447903828197946,0.456186114796796,0.340594806763285
plant-margin,0.803958805083805,0.360035117439257,0.821155525030525,0.408785353535354,0.833465548340548,0.810987373737374,0.775175505050505,0.377168629603111,0.774054112554113,0.79679347041847,0.782784090909091,0.61379865967366
pittsburg-bridges-T-OR-D,0.457995951417004,0.457995951417004,0.457995951417004,0.472416472416472,0.457995951417004,0.62232905982906,0.461538461538462,0.65464887964888,0.454261954261954,0.461538461538462,0.626035397745924,0.457995951417004
