Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
annealing,0.827777777777778,0.858333333333333,0.945833333333333,0.95,0.923611111111111,0.691666666666667,0.898611111111111,0.770833333333333,0.938888888888889,0.918055555555556,0.852777777777778,0.925
breast-cancer-wisc-diag,0.966549295774648,0.957746478873239,0.961267605633803,0.936619718309859,0.948943661971831,0.936619718309859,0.961267605633803,0.961267605633803,0.954225352112676,0.970070422535211,0.973591549295775,0.955985915492958
breast-cancer-wisc-prog,0.826530612244898,0.785714285714286,0.770408163265306,0.673469387755102,0.790816326530612,0.612244897959184,0.755102040816327,0.780612244897959,0.780612244897959,0.816326530612245,0.801020408163265,0.801020408163265
congressional-voting,0.607798165137615,0.61697247706422,0.600917431192661,0.600917431192661,0.614678899082569,0.536697247706422,0.600917431192661,0.571100917431193,0.603211009174312,0.607798165137615,0.594036697247706,0.619266055045872
conn-bench-sonar-mines-rocks,0.831730769230769,0.759615384615385,0.807692307692308,0.701923076923077,0.822115384615385,0.639423076923077,0.764423076923077,0.807692307692308,0.783653846153846,0.793269230769231,0.807692307692308,0.826923076923077
conn-bench-vowel-deterding,0.995670995670996,0.581709956709957,0.971861471861472,0.78517316017316,0.996212121212121,0.741341991341991,0.99512987012987,0.980519480519481,0.972402597402597,0.961038961038961,0.917207792207792,0.897727272727273
credit-approval,0.870639534883721,0.854651162790698,0.870639534883721,0.866279069767442,0.875,0.821220930232558,0.86046511627907,0.869186046511628,0.879360465116279,0.857558139534884,0.857558139534884,0.866279069767442
cylinder-bands,0.779296875,0.744140625,0.8515625,0.7265625,0.78515625,0.67578125,0.763671875,0.7578125,0.81640625,0.73046875,0.75,0.76171875
dermatology,0.972972972972973,0.959459459459459,0.962837837837838,0.956081081081081,0.976351351351351,0.929054054054054,0.966216216216216,0.966216216216216,0.976351351351351,0.986486486486487,0.976351351351351,0.959459459459459
flags,0.493589743589744,0.512820512820513,0.66025641025641,0.519230769230769,0.647435897435897,0.41025641025641,0.5,0.294871794871795,0.628205128205128,0.525641025641026,0.538461538461538,0.615384615384615
heart-cleveland,0.594262295081967,0.577868852459016,0.610655737704918,0.569672131147541,0.577868852459016,0.545081967213115,0.598360655737705,0.557377049180328,0.569672131147541,0.581967213114754,0.569672131147541,0.590163934426229
heart-hungarian,0.852739726027397,0.821917808219178,0.845890410958904,0.808219178082192,0.852739726027397,0.835616438356164,0.852739726027397,0.842465753424657,0.832191780821918,0.801369863013699,0.818493150684932,0.842465753424658
