Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
annealing,0.585481647521997,0.638496018803589,0.955802593395282,0.916141826369583,0.939075434443975,0.271564291571888,0.906425096358297,0.730810577882272,0.945562382083362,0.834922017595748,0.751363145697399,0.943928837364567
breast-cancer-wisc-diag,0.970309000839666,0.959740874328929,0.964599440925993,0.933787367679796,0.951718881631834,0.936479656287992,0.965982308266116,0.963546254714631,0.954212499724468,0.972719079284436,0.977543574564291,0.957441811854036
breast-cancer-wisc-prog,0.676561126843082,0.676725081931052,0.675834810874704,0.534103835547523,0.565738858738642,0.569099985263778,0.642782813892151,0.765805969148988,0.681812720660122,0.755885270774977,0.731070870017345,0.768968419159215
congressional-voting,0.395595008100862,0.505629991548097,0.424578106338134,0.448233538831307,0.443253598164422,0.587815218988239,0.519761533897048,0.510004831556859,0.478288129564836,0.46590505356859,0.455875132437841,0.568511995430312
conn-bench-sonar-mines-rocks,0.840219155844156,0.764512738397548,0.822210285629403,0.70851016453232,0.837133133204215,0.662566757909929,0.767039775566762,0.817722827390859,0.813640813681932,0.804263661384398,0.812883680057916,0.830911697261417
conn-bench-vowel-deterding,0.995770526161647,0.652243911797048,0.97253003908728,0.790462594044529,0.99630021141649,0.75175821701822,0.995254569250341,0.981169046529298,0.972894050565762,0.962814434795818,0.921389725270971,0.901998178598226
credit-approval,0.869698597380686,0.855011872661797,0.871180164117748,0.867105836661586,0.875954092363915,0.830264332193694,0.860522244241313,0.873852914440637,0.878388675042918,0.856478640183846,0.855873247809081,0.8652697373463
cylinder-bands,0.769452177748132,0.734788245860509,0.852039182148365,0.71850337894461,0.785659501801282,0.707471515950739,0.755943026807905,0.785210557125513,0.818182097329935,0.725014707715868,0.73850586547955,0.755128677247854
dermatology,0.970138888888889,0.955637765012765,0.956092171717172,0.937105429292929,0.978890669515669,0.921201565319212,0.962752525252525,0.953957847707848,0.979465326340326,0.985368104118104,0.974436327561328,0.95545843045843
flags,0.27846936050061,0.288478229287053,0.388890983833418,0.334017300101859,0.383891369047619,0.317712842712843,0.244831123737374,0.324046266233766,0.3298984002109,0.319769033050283,0.329459169302919,0.32821406024531
heart-cleveland,0.359448428019857,0.244564375765214,0.321022997987395,0.29123157998158,0.291815255295587,0.32761924980976,0.302407460960093,0.360457340071904,0.249909490235577,0.340012985099192,0.306147020742028,0.281352198005022
heart-hungarian,0.853828365173474,0.82457410183797,0.837575636348928,0.798197123971286,0.848996559607345,0.821729540341624,0.84549097652011,0.832504521410069,0.818463513155781,0.802135590872218,0.811479591836735,0.835551697789224
heart-va,0.213234126984127,0.187769394348342,0.239564916078074,0.179979309905781,0.152973237274708,0.233842407592408,0.310422077922078,0.271079598506069,0.222752192982456,0.283066655566656,0.284519339356296,0.250865388107951
hepatitis,0.835236137465739,0.788192126328753,0.61809783353901,0.70327205068194,0.675995879120879,0.750357142857143,0.750693750693751,0.79226299376082,0.688061874874019,0.663923299204739,0.709767084986487,0.78711978810663
horse-colic,0.846023001900037,0.834537381786895,0.869138238089484,0.825300038714673,0.847968004218004,0.746036967418546,0.778668429094126,0.80506745092469,0.869448124549869,0.850767224801686,0.831931390977444,0.797965917276333
ionosphere,0.938238724615066,0.931427270361697,0.93267026903487,0.872791124740348,0.926218226137133,0.907748357963875,0.920381192447458,0.90789343677597,0.92749583271135,0.923187219735239,0.93247793775317,0.933110846383244
libras,0.90015873015873,0.677802151552152,0.836805555555556,0.57212000962001,0.856706349206349,0.687882395382395,0.872149470899471,0.902486772486773,0.840214646464647,0.762625661375661,0.816289682539683,0.719887566137566
molec-biol-promoter,0.855759691697192,0.872718253968254,0.87233893557423,0.797477002164502,0.862594696969697,0.91998556998557,0.799450549450549,0.577001633986928,0.852083333333333,0.869142316017316,0.833805777555778,0.815239448051948
oocytes_merluccius_nucleus_4d,0.818396608921646,0.747555131035792,0.771036084534825,0.69905496784023,0.768377524072059,0.594967933291768,0.697603269955929,0.678916831051925,0.763558257156002,0.767704133612354,0.752242905097307,0.757375696147864
oocytes_merluccius_states_2f,0.882757696395336,0.828501560107982,0.881982541169356,0.820304872414642,0.890178265324341,0.774047718567044,0.846541695389597,0.798620306496274,0.886461615662944,0.870249249385364,0.847405658587425,0.870377515942828
oocytes_trisopterus_nucleus_2f,0.826952760963817,0.778930559652482,0.790236765512467,0.733881358124835,0.811222754430457,0.601081214213569,0.733943500539374,0.753736849133599,0.787440395144647,0.800499048814907,0.801156758499301,0.777218542074413
oocytes_trisopterus_states_5b,0.961560103839516,0.62838702579696,0.893640901319968,0.839399823113301,0.940198259755873,0.70451907201568,0.848036176920027,0.591069462119522,0.908439677140285,0.951755783587272,0.936542322779775,0.854710315193033
parkinsons,0.898281097735526,0.873460712838773,0.856284038829771,0.742578810025114,0.871373605748606,0.669789606334136,0.905868437118437,0.74762321012321,0.874769476494538,0.804224255041318,0.84358664983665,0.861626477556356
planning,0.355555555555556,0.363068181818182,0.347937430786268,0.372273176360044,0.353875968992248,0.353713806874911,0.374038461538462,0.404791373032652,0.375766594516594,0.377525252525253,0.364181286549708,0.414939203435375
primary-tumor,0.233725238683359,0.10812967504918,0.213451363451363,0.253421855921856,0.204328473813768,0.241026299408652,0.23947101972102,0.226921041921042,0.237230541475294,0.302709535834536,0.234844811401263,0.223053310563391
spectf,0.459893048128342,0.459893048128342,0.459893048128342,0.459839140934966,0.459893048128342,0.459893048128342,0.459893048128342,0.494154722402764,0.459893048128342,0.459893048128342,0.459893048128342,0.459893048128342
statlog-australian-credit,0.424219359203706,0.613957476095119,0.586284793393068,0.536701851425231,0.49990287235821,0.552230050222889,0.59318751730474,0.561003359676769,0.563158960132703,0.567217692990467,0.49527336851049,0.594504236581132
statlog-german-credit,0.701466007604594,0.684268687725186,0.713345976638282,0.66131532741032,0.713468142560004,0.699524294420957,0.687585345992868,0.735841206652879,0.752575699990924,0.700467147983075,0.726597274110705,0.713465251140042
statlog-heart,0.836146699069202,0.847154115803437,0.820281298323451,0.85223087806702,0.857022506626165,0.880444646098004,0.866988913654044,0.88687062598648,0.847394369196695,0.831962400752101,0.876804730554731,0.836986863687434
statlog-image,0.962091786780997,0.856543738171715,0.97446897675351,0.951628405832554,0.977745206004931,0.826007680294879,0.957651884560801,0.902713028496158,0.975868833792048,0.964701804940325,0.962352283421394,0.971892887981795
statlog-vehicle,0.801054219199318,0.668435986506194,0.74222885959743,0.701833903615344,0.730186873253037,0.518786882888087,0.668209629602091,0.832907880915997,0.718265217432223,0.771063627634258,0.746179727678148,0.735300802733249
synthetic-control,0.993589743589744,0.887137401632937,0.982888515805182,0.885932729245025,0.986240053050398,0.951099889550019,0.979866198616199,0.985562084520418,0.982281473223502,0.995192307692308,0.99198717948718,0.963094854180561
wine,0.975706627680312,0.960346914294283,0.96565170940171,0.894397300214032,0.994444444444444,0.966230413105413,0.95441804927099,0.988034188034188,0.981623931623932,0.975950292397661,0.961844448193132,0.977095516569201
zoo,0.81547619047619,0.675595238095238,0.889880952380952,0.797619047619048,0.87797619047619,0.833333333333333,0.776785714285714,0.594642857142857,0.900793650793651,0.732142857142857,0.851190476190476,0.792261904761905
pittsburg-bridges-REL-L,0.471780303030303,0.501402179691653,0.650970325970326,0.557078134284017,0.529683048433048,0.516440503940504,0.641650016650017,0.46911525974026,0.596990740740741,0.490492724867725,0.5379884004884,0.567314425770308
plant-texture,0.860297619047619,0.491199285765404,0.826053571428571,0.475414772727273,0.849952380952381,0.809047619047619,0.827705357142857,0.448420799367471,0.82122619047619,0.841416666666667,0.831083333333333,0.712892857142857
pittsburg-bridges-MATERIAL,0.560284442724458,0.479398148148148,0.650024366471735,0.496494708994709,0.525024366471735,0.628918701983717,0.563318017265386,0.633382066276803,0.525024366471735,0.51806944775211,0.716252436647174,0.524752035317051
plant-shape,0.704443452380952,0.22150183945956,0.597714285714286,0.420090243090243,0.628943452380952,0.525895833333333,0.632081349206349,0.605013510794761,0.609068452380952,0.562618326118326,0.554298423798424,0.516356150793651
yeast,0.645620502201893,0.349422984607409,0.499951503495769,0.419403662145306,0.617864997755077,0.476733138998299,0.616432066290231,0.501343551150631,0.539439200061005,0.658779663626094,0.64449444176849,0.473491469907953
breast-tissue,0.687996031746032,0.616071428571429,0.609821428571429,0.568849206349206,0.585515873015873,0.582986111111111,0.689087301587302,0.654861111111111,0.686805555555555,0.744940476190476,0.666865079365079,0.546180555555556
wine-quality-white,0.367446496212778,0.215105306741036,0.560229700939627,0.312614979579347,0.550439915390121,0.317358143222068,0.563846078937344,0.294142585836599,0.520504886641133,0.348824344972294,0.373278325670222,0.486490851836713
glass,0.651088426823721,0.484654610016929,0.747999941092046,0.644051203426203,0.593388787138787,0.391618867243867,0.673665427709545,0.385999585019193,0.75828540368014,0.658827136186976,0.670243930905696,0.637741791828605
pittsburg-bridges-TYPE,0.466919191919192,0.306726933197521,0.381097374847375,0.327624458874459,0.488430377492878,0.522359006734007,0.487080280830281,0.419256206756207,0.3745411995412,0.50374053030303,0.469097222222222,0.335714285714286
plant-margin,0.835836309523809,0.431017777423525,0.851902777777778,0.456767135642136,0.854333333333333,0.841244047619048,0.808244047619048,0.439248803280053,0.804154761904762,0.830654761904762,0.816874278499279,0.66568253968254
pittsburg-bridges-T-OR-D,0.427678571428571,0.427678571428571,0.427678571428571,0.450595238095238,0.427678571428571,0.614087301587302,0.428571428571429,0.677683792815372,0.426691729323308,0.428571428571429,0.693327067669173,0.427678571428571
