Dataset,SVM,adaboost,bagging,decision_tree,extratree,gaussian_nb,knn,qda,randomforest,stack,voting,xgboost
annealing,0.437598259404829,0.571905530600786,0.888485401459854,0.881970802919708,0.868544357102751,0.357518248175183,0.83951010668164,0.792600364963504,0.895775547445255,0.800318641212802,0.491481611454239,0.796313166760247
breast-cancer-wisc-diag,0.959004663981344,0.950074199703201,0.952883188467246,0.931312274750901,0.939235743057028,0.928450286198855,0.951929192283231,0.953837184651261,0.948219207123171,0.96372164511342,0.966530633877464,0.948669705321179
breast-cancer-wisc-prog,0.662081339712919,0.64383971291866,0.537081339712919,0.539174641148325,0.558313397129187,0.596590909090909,0.591806220095694,0.600179425837321,0.567882775119617,0.72816985645933,0.629485645933014,0.589114832535885
congressional-voting,0.498845060412225,0.507418265813788,0.49546908315565,0.501021677327647,0.507773631840796,0.566497867803838,0.499911158493248,0.515636105188344,0.505108386638237,0.503287135749822,0.497645700071073,0.519278606965174
conn-bench-sonar-mines-rocks,0.827380952380952,0.75297619047619,0.800595238095238,0.695684523809524,0.814732142857143,0.649553571428571,0.758928571428571,0.804315476190476,0.771577380952381,0.787946428571429,0.803571428571429,0.822172619047619
conn-bench-vowel-deterding,0.995670995670996,0.581709956709957,0.971861471861472,0.78517316017316,0.996212121212121,0.741341991341991,0.99512987012987,0.980519480519481,0.972402597402597,0.961038961038961,0.917207792207792,0.897727272727273
credit-approval,0.870751096491228,0.859512061403509,0.86938048245614,0.868215460526316,0.87328673245614,0.80969024122807,0.857867324561404,0.862938596491228,0.87719298245614,0.860745614035088,0.858347039473684,0.865131578947368
cylinder-bands,0.774038461538461,0.725448717948718,0.833333333333333,0.711025641025641,0.755512820512821,0.599358974358974,0.745064102564102,0.707948717948718,0.791923076923077,0.702564102564103,0.727564102564103,0.743461538461539
dermatology,0.970138888888889,0.951388888888889,0.96207729468599,0.953864734299517,0.965277777777778,0.926660628019324,0.965549516908213,0.966243961352657,0.972222222222222,0.984722222222222,0.972916666666667,0.958605072463768
flags,0.296168154761905,0.345014880952381,0.418452380952381,0.3375,0.434895833333333,0.305394345238095,0.302604166666667,0.24672619047619,0.384858630952381,0.337760416666667,0.340997023809524,0.371949404761905
heart-cleveland,0.351298701298701,0.291991341991342,0.317532467532467,0.311471861471861,0.271645021645022,0.332683982683983,0.305194805194805,0.37012987012987,0.27034632034632,0.351082251082251,0.295021645021645,0.303030303030303
heart-hungarian,0.823342880523732,0.790814238952537,0.822319967266776,0.795212765957447,0.836231587561375,0.8379705400982,0.834083469721768,0.828252864157119,0.81597790507365,0.787745499181669,0.801043371522095,0.819660392798691
heart-va,0.23219696969697,0.19209595959596,0.236060606060606,0.22084595959596,0.223371212121212,0.305896464646465,0.292525252525253,0.333320707070707,0.223876262626263,0.264292929292929,0.299217171717172,0.204835858585859
hepatitis,0.729838709677419,0.666834677419355,0.608366935483871,0.634576612903226,0.686491935483871,0.859375,0.663810483870968,0.702116935483871,0.647681451612903,0.58820564516129,0.674395161290323,0.636088709677419
horse-colic,0.827800361336947,0.818541102077687,0.841463414634146,0.828139114724481,0.815266485998193,0.752258355916892,0.771341463414634,0.814476061427281,0.860094850948509,0.858965672990063,0.842140921409214,0.659101174345077
ionosphere,0.918293718166384,0.906196943972835,0.917940011318619,0.884691567628749,0.894100169779287,0.891199773627617,0.893746462931522,0.900749858517261,0.911714770797963,0.909521788341822,0.923811544991511,0.917940011318619
libras,0.8875,0.613333333333333,0.813333333333333,0.539166666666667,0.8375,0.625,0.8375,0.878333333333333,0.801666666666667,0.735833333333333,0.78,0.685
molec-biol-promoter,0.836538461538462,0.855769230769231,0.865384615384615,0.788461538461538,0.846153846153846,0.903846153846154,0.798076923076923,0.567307692307692,0.836538461538462,0.855769230769231,0.826923076923077,0.807692307692308
oocytes_merluccius_nucleus_4d,0.78874269005848,0.729662698412698,0.722535505430242,0.684523809523809,0.706062030075188,0.60703842940685,0.686064118629908,0.672123015873016,0.697133458646617,0.703164160401002,0.703973475355054,0.707706766917293
oocytes_merluccius_states_2f,0.911253156565657,0.78526672979798,0.887831439393939,0.849992108585859,0.880153093434344,0.893489583333333,0.870920138888889,0.907583648989899,0.870691287878788,0.888076073232323,0.866201073232323,0.861584595959596
oocytes_trisopterus_nucleus_2f,0.827651515151515,0.777935606060606,0.784564393939394,0.724431818181818,0.79983428030303,0.579190340909091,0.738517992424242,0.752722537878788,0.777107007575758,0.789180871212121,0.78420928030303,0.766216856060606
oocytes_trisopterus_states_5b,0.954920634920635,0.571111111111111,0.818412698412698,0.806825396825397,0.792857142857143,0.769365079365079,0.783650793650794,0.586984126984127,0.791111111111111,0.833174603174603,0.863333333333333,0.796349206349206
parkinsons,0.872184684684685,0.79222972972973,0.781813063063063,0.762668918918919,0.795608108108108,0.723817567567568,0.85106981981982,0.727477477477477,0.82347972972973,0.733952702702703,0.785472972972973,0.809684684684685
planning,0.5,0.474459134615385,0.46484375,0.476262019230769,0.4921875,0.435396634615385,0.490084134615385,0.495793269230769,0.478365384615385,0.486177884615385,0.452824519230769,0.486177884615385
primary-tumor,0.263210784313725,0.140694444444444,0.236446078431373,0.283676470588235,0.269354575163399,0.21703431372549,0.270408496732026,0.204738562091503,0.266160130718954,0.325833333333333,0.267140522875817,0.260220588235294
spectf,0.5,0.5,0.5,0.499273255813953,0.5,0.5,0.5,0.519476744186047,0.5,0.5,0.5,0.5
statlog-australian-credit,0.503477078477078,0.542812742812743,0.542696192696193,0.528651903651904,0.517676767676768,0.552758352758353,0.521950271950272,0.522610722610723,0.533469308469309,0.504156954156954,0.499747474747475,0.533993783993784
statlog-german-credit,0.634523809523809,0.64952380952381,0.663095238095238,0.648333333333333,0.651904761904762,0.718809523809524,0.602857142857143,0.729047619047619,0.67,0.662857142857143,0.679761904761905,0.677619047619048
statlog-heart,0.820157657657658,0.837612612612613,0.799324324324324,0.829504504504504,0.842792792792793,0.877702702702703,0.84954954954955,0.873761261261261,0.836824324324324,0.827477477477477,0.867792792792793,0.825112612612613
statlog-image,0.961267677802828,0.866396802623488,0.974333879893421,0.951342488214798,0.977382660381226,0.808111293297807,0.956912277105964,0.891934822709572,0.975686616109859,0.964316458290633,0.962154129944661,0.971751383480221
statlog-vehicle,0.807046170860187,0.642681094736351,0.752757114852802,0.694592220822005,0.747695727328477,0.464577920457301,0.68874133129524,0.837472862691865,0.734170700393746,0.775412043033337,0.760481426704472,0.749677277524313
synthetic-control,0.993333333333333,0.876666666666667,0.981666666666667,0.883333333333333,0.985,0.941666666666667,0.978333333333333,0.985,0.981666666666667,0.995,0.991666666666667,0.96
wine,0.967592592592593,0.954365079365079,0.969907407407407,0.878306878306878,0.99537037037037,0.96957671957672,0.960648148148148,0.990740740740741,0.986111111111111,0.968584656084656,0.962632275132275,0.975529100529101
zoo,0.839285714285714,0.767857142857143,0.910714285714286,0.821428571428572,0.892857142857143,0.875,0.821428571428571,0.59077380952381,0.910714285714286,0.791666666666667,0.857142857142857,0.821428571428571
pittsburg-bridges-REL-L,0.49963924963925,0.507215007215007,0.593073593073593,0.577561327561328,0.523088023088023,0.536796536796537,0.604256854256854,0.475108225108225,0.577922077922078,0.488455988455988,0.553751803751804,0.533189033189033
plant-texture,0.83625,0.430833333333333,0.814791666666667,0.457708333333333,0.833333333333333,0.777708333333333,0.80375,0.380208333333333,0.805625,0.817916666666667,0.797708333333333,0.677916666666667
